2026-07-03T19:46:38+08:00 localhost rasdaemon[1046]: Can't get traces from ras:extlog_mem_event
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: control hw:0 open error: No such file or directory
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: file convert error, err:32512.
2026-07-03T19:46:49+08:00 win000k10424 systemd[2634]: Failed to start Portal service (GTK/GNOME implementation).
2026-07-06T11:50:16+08:00 win000k10424 python3[737959]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T12:57:41+08:00 win000k10424 python3[751276]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T14:41:41+08:00 win000k10424 python3[771007]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T16:11:51+08:00 win000k10424 python3[788115]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T18:01:41+08:00 win000k10424 python3[808964]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T19:41:31+08:00 win000k10424 python3[827855]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T21:25:01+08:00 win000k10424 python3[847508]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T22:53:41+08:00 win000k10424 python3[864308]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T00:42:39+08:00 win000k10424 python3[885019]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T01:59:41+08:00 win000k10424 python3[899620]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T03:08:51+08:00 win000k10424 python3[912749]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T04:21:51+08:00 win000k10424 python3[926613]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T05:54:41+08:00 win000k10424 python3[944233]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T07:17:55+08:00 win000k10424 python3[960007]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T08:22:51+08:00 win000k10424 python3[972342]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T09:50:31+08:00 win000k10424 python3[988956]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T10:30:44+08:00 win000k10424 python3[997316]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T10:30:59+08:00 win000k10424 python3[997373]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T10:31:06+08:00 win000k10424 PackageKit[997469]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T10:34:36+08:00 win000k10424 python3[998199]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T10:56:11+08:00 win000k10424 python3[1002946]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-07T12:11:41+08:00 win000k10424 python3[1036275]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
